City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Talaya,RU,2022-07-18 13:13:18,61.3833,152.75,61.65,83,85,5.64
226,Kiunga,PG,2022-07-18 13:10:41,-6.1219,141.2906,72.07,99,100,1.81
227,Voi,KE,2022-07-18 13:13:19,-3.3945,38.563,78.28,49,97,17.87
228,Vao,NC,2022-07-18 13:13:19,-22.6667,167.4833,73.6,87,89,13.73
229,Victoria,HK,2022-07-18 13:09:34,22.2855,114.1577,88.18,84,100,8.01
230,Airai,TL,2022-07-18 13:13:20,-8.9266,125.4092,53.92,86,100,2.39
231,Waddan,LY,2022-07-18 13:13:20,29.1614,16.139,97.61,19,0,22.95
232,Joshimath,IN,2022-07-18 13:13:21,30.5667,79.5667,75.16,92,85,3.0
233,Havre-Saint-Pierre,CA,2022-07-18 13:13:21,50.2334,-63.5986,61.16,82,100,12.66
234,Phatthalung,TH,2022-07-18 13:13:22,7.5,100.0833,81.34,80,48,3.22
235,Kirkwood,US,2022-07-18 13:13:22,38.5834,-90.4068,73.58,96,8,1.99
236,Kilis,TR,2022-07-18 13:13:23,36.7161,37.115,100.63,14,0,12.37
237,Xingyi,CN,2022-07-18 13:13:23,24.1877,102.817,67.64,90,100,4.25
238,Lishui,CN,2022-07-18 13:13:24,28.4604,119.9103,79.68,96,100,2.33
239,Iquique,CL,2022-07-18 13:13:24,-20.2208,-70.1431,57.24,65,10,4.12
240,Torbay,CA,2022-07-18 13:13:25,47.6666,-52.7314,73.27,67,69,14.23
241,Usinsk,RU,2022-07-18 13:13:25,65.9939,57.5281,75.04,57,26,6.73
242,Dwarka,IN,2022-07-18 13:13:26,22.2394,68.9678,82.9,80,71,13.76
243,Los Llanos De Aridane,ES,2022-07-18 13:13:26,28.6585,-17.9182,73.15,84,20,16.11
244,Tessalit,ML,2022-07-18 13:13:27,20.1986,1.0114,101.37,23,9,7.94
